,fullName,country,politicalGroup,id,nationalPoliticalGroup
113,Anna CAVAZZINI,Germany,Group of the Greens/European Free Alliance,86793,Bündnis 90/Die Grünen
114,Susanna CECCARDI,Italy,Identity and Democracy Group,197786,Lega
115,Sara CERDAS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197641,Partido Socialista
116,Catherine CHABAUD,France,Renew Europe Group,197505,Mouvement Démocrate
117,Patricia CHAGNON,France,Identity and Democracy Group,236052,Rassemblement national
118,Mohammed CHAHIM,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197782,Partij van de Arbeid
119,Leila CHAIBI,France,The Left group in the European Parliament - GUE/NGL,197529,La France Insoumise
120,Dita CHARANZOVÁ,Czechia,Renew Europe Group,124708,ANO 2011
121,Olivier CHASTEL,Belgium,Renew Europe Group,197463,Mouvement Réformateur
122,Caterina CHINNICI,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124861,Partito Democratico
123,Asger CHRISTENSEN,Denmark,Renew Europe Group,197558,"Venstre, Danmarks Liberale Parti"
124,Ilana CICUREL,France,Renew Europe Group,204416,Liste Renaissance
125,Włodzimierz CIMOSZEWICZ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197507,Sojusz Lewicy Demokratycznej - Unia Pracy
126,Angelo CIOCCA,Italy,Identity and Democracy Group,183793,Lega
127,Dacian CIOLOŞ,Romania,Renew Europe Group,197631,Reînnoim Proiectul European al României
128,Tudor CIUHODARU,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197657,Partidul Social Democrat
129,Deirdre CLUNE,Ireland,Group of the European People's Party (Christian Democrats),124988,Fine Gael Party
130,Nathalie COLIN-OESTERLÉ,France,Group of the European People's Party (Christian Democrats),197536,Les centristes
